brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
CARTIER,Baiser Fou EDP 75ml,"AED, ,262.09","AED, ,185.00, ",wrangle from name,wrangle from name,,Glazed Fashion,3.5,259
BURBERRY,My Burberry Black 90ml,625.00,209.95,wrangle from name,wrangle from name,,noon,4,7.7K
BVLGARI,Goldea The Roman Night EDP 75ml,"AED, ,442.00","AED, ,193.90, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
VERSACE,Eros Flame EDP 200ml,"AED, ,405.02","AED, ,249.40, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
Rasasi,"RASASI - SHUHRAH,POUR HOMME - EDP 90 ML 90ml","AED, ,70.40, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Niya,Gardenia Rose EDP 100ml 100ml,99.00,45.00,wrangle from name,wrangle from name,,noon,4,48.9K
Shiseido,Zen EDP 100ml,325.00,151.60,wrangle from name,wrangle from name,,noon,4,7.7K
Lattafa,Elixir Oud Mood EDP 100ml,"AED, ,39.95, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Lattafa,Rouat Al Musk EDP 100ml,80.00,35.85,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
MONTALE,Roses Musk EDP 100ml,"AED, ,420.00","AED, ,262.00, ",wrangle from name,wrangle from name,,Multibrands,3.7,27
GUESS,Gold EDP 75ml,"AED, ,269.00","AED, ,60.40, ",wrangle from name,wrangle from name,,noon,4,7.7K
Lattafa,Musk Mood EDP 100ml,37.20,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
VALENTINO,Valentina EDP 80ml,"AED, ,425.00","AED, ,241.40, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Serge Lutens,Laine De Verre EDP 50ml,228.00,138.05,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
SWISS ARABIAN,Nouf EDP 50ml,155.00,135.00,wrangle from name,wrangle from name,,Swiss Arabian Perfumes,4.3,76
Louis Cardin,Credible Homme EDP 100ml,"AED, ,78.00","AED, ,45.65, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Dehen w 3oood,Dehen Oud Futaim 3ml,"AED, ,100.00, ",,wrangle from name,wrangle from name,,Dehen_w_3oood,4.8,32
MONTALE,Red Aoud EDP 100ml,232.00,,wrangle from name,wrangle from name,,branded perfume,3.3,394
Juicy,Viva La Juicy Rose EDP 100ml,152.10,132.85,wrangle from name,wrangle from name,,noon,4,7.7K
KORLOFF,Take Me To The Moon EDP 50ml,"AED, ,106.61","AED, ,52.50, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
BVLGARI,Le Gemme Selima EDP 100ml,"AED, ,945.00","AED, ,774.00, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
SWISS ARABIAN,Inara EDP 55ml,"AED, ,60.00, ",,wrangle from name,wrangle from name,,Swiss Arabian Perfumes,4.3,76
Dehen w 3oood,Hair Mist Dana Abu Dhabi 30ml,"AED, ,90.00, ",,wrangle from name,wrangle from name,,Dehen_w_3oood,4.8,32
Estee Lauder,Modern Muse Nuit EDP 100ml,331.00,229.90,wrangle from name,wrangle from name,,noon,4,7.7K
YSL,Supreme Bouquet EDP 75ml,563.10,,wrangle from name,wrangle from name,,noon,4,7.7K
Giorgio,Black-1388 Cedro EDP 100ml,"AED, ,85.00","AED, ,39.65, ",wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Fred Hayman,273 Beverly Hills EDP 75ml,"AED, ,159.92","AED, ,84.95, ",wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
ROCHAS,Secret De Oud Mystere EDP 100ml,329.00,78.00,wrangle from name,wrangle from name,,noon,4,7.7K
Pure Touch,Homme EDP 60ml,103.14,74.70,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Salvatore Ferragamo,Incanto EDP 100ml,"AED, ,66.05, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Calvin Klein,Secret Obsession EDP 100ml,184.44,77.50,wrangle from name,wrangle from name,,noon,4,7.7K
BURBERRY,Burberry EDP 50ml,"AED, ,99.95, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
CHANEL,No.5 EDP 35ml,"AED, ,477.05","AED, ,340.65, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
RALPH LAUREN,Midnight Romance EDP 100ml,"AED, ,772.00","AED, ,266.90, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
BVLGARI,Le Gemme Garanat Perfume EDP 100ml,1168.00,945.70,wrangle from name,wrangle from name,,noon,4,7.7K
ELIE SAAB,Essence No.9 Tubereuse EDP 100ml,"AED, ,287.00","AED, ,218.00, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
Lauren Jay Paris,Brown Orchid Gold Edition EDP 80ml,81.00,25.95,wrangle from name,wrangle from name,,almalikaperfumestrading llc,2.3,145
CARTIER,La Panthere EDP 75ml,"AED, ,460.00","AED, ,284.35, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
VILILY,Amethyst Crystal EDP 25ml,"AED, ,30.00","AED, ,16.07, ",wrangle from name,wrangle from name,,Zewa,3.9,757
Rasasi,La Yuqawam Jasmine Wisp EDP 75ml,344.00,232.95,wrangle from name,wrangle from name,,noon,4,7.7K
Rasasi,Yazan  EDP 85ml,167.00,89.55,wrangle from name,wrangle from name,,noon,4,48.9K
Rasasi,Rumz 9453 Leo Pour Lui EDP 50ml,"AED, ,135.00","AED, ,113.70, ",wrangle from name,wrangle from name,,noon,4,48.9K
Giorgio,Giorgio Pink Divine EDP 100ml,"AED, ,82.00","AED, ,33.25, ",wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Niya,Maison Sandalwood Tester 2ml,5.00,,wrangle from name,wrangle from name,,noon Brands,4.1,693
Nabeel,Dastoor EDP 80ml,580.00,383.60,wrangle from name,wrangle from name,,noon,4,48.9K
EKOZ,Sport Pour Femme EDP 100ml,"AED, ,48.20, ",,wrangle from name,wrangle from name,,noon,4,7.7K
VILILY,Cassis Rose EDP 25ml,30.00,15.00,wrangle from name,wrangle from name,,Zewa,3.9,757
Rasasi,La Yuqawam Blaze EDP 75ml,301.00,267.00,wrangle from name,wrangle from name,,noon,4,48.9K
Arabian Oud,Velvet Touch  Perfume 100ml,"AED, ,294.00","AED, ,147.00, ",wrangle from name,wrangle from name,,Arabian Oud,3.9,25
Dior,Sauvage EDP 60ml,352.00,269.30,wrangle from name,wrangle from name,,noon,4,7.7K
Kenzo,World Intense EDP 75ml,229.63,144.15,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Rasasi,Kun Mukhtalifan 100ml,"AED, ,61.00, ",,wrangle from name,wrangle from name,,noon,4,48.9K
Armaf,De La Marque Rouge EDP 100ml,"AED, ,88.26","AED, ,64.55, ",wrangle from name,wrangle from name,,noon,4,48.9K
KORLOFF,Gold EDP 88ml,277.00,94.20,wrangle from name,wrangle from name,,noon,4,48.9K
Estee Lauder,Pleasures EDP 100ml,350.00,167.50,wrangle from name,wrangle from name,,noon,4,7.7K
Classic Perfumes,Dignity Noir EDP 100ml,31.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
EMETEN,Faith Later Ages EDP 70ml,"AED, ,100.00","AED, ,52.75, ",wrangle from name,wrangle from name,,SuperStyle,3.8,417
LENGLING,Sekushi EDP 50ml,945.00,532.95,wrangle from name,wrangle from name,,noon,4,48.9K
Estee Lauder,Spellbound EDP 50ml,"AED, ,189.90, ",,wrangle from name,wrangle from name,,noon,4,7.7K
NINA RICCI,Premier Jour EDP 100ml,195.53,132.10,wrangle from name,wrangle from name,,branded perfume,3.3,394
BURBERRY,London EDP 50ml,"AED, ,96.90, ",,wrangle from name,wrangle from name,,noon,4,7.7K
CAROLINA HERRERA,212 Sexy EDP 100ml,415.00,209.05,wrangle from name,wrangle from name,,noon,4,7.7K
Giorgio,Pink Special Edition EDP 100ml,"AED, ,72.00","AED, ,33.70, ",wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Dior,Poison Girl EDP For Women 100ml,"AED, ,535.00","AED, ,280.95, ",wrangle from name,wrangle from name,,Al Aflah Trading LLC,1.7,46
ELIE SAAB,Girl of Now Shine EDP 90ml,"AED, ,300.00","AED, ,184.85, ",wrangle from name,wrangle from name,,noon,4,7.7K
KORLOFF,Lady EDP 88ml,219.78,97.80,wrangle from name,wrangle from name,,noon,4,7.7K
MOSCHINO,Toy2 EDP 100ml,"AED, ,350.00","AED, ,170.25, ",wrangle from name,wrangle from name,,noon,4,7.7K
Miu Miu,Miu Miu EDP 100ml,481.00,200.95,wrangle from name,wrangle from name,,noon,4,7.7K
Dolce & Gabbana,Pour Femme EDP 100ml,324.00,170.55,wrangle from name,wrangle from name,,noon,4,7.7K
BURBERRY,Weekend EDP 100ml,"AED, ,180.00","AED, ,105.15, ",wrangle from name,wrangle from name,,noon,4,7.7K
Classic Perfumes,Donna EDP 80ml,36.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
MOSCHINO,Fresh Gold EDP 100ml,"AED, ,185.00","AED, ,160.05, ",wrangle from name,wrangle from name,,noon,4,7.7K
Guerlain,Musc Noble EDP 125ml,753.00,351.80,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Al Rasasi,Chastity EDP 100ml,"AED, ,39.20, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Mancera,Blue Aoud EDP 120ml,"AED, ,315.74","AED, ,209.55, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Classic Perfumes,Elisa EDP 100ml,29.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
SWISS ARABIAN,Inara Oud EDP 55ml,"AED, ,60.00, ",,wrangle from name,wrangle from name,,Swiss Arabian Perfumes,4.3,76
LALIQUE,Amethyst EDP 100ml,"AED, ,134.00","AED, ,103.55, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
Lattafa,Sheikh Al Shuyukh Luxe Edition EDP 100ml,39.00,30.75,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
LANVIN PARIS,Arpege EDP 100ml,98.20,,wrangle from name,wrangle from name,,noon,4,7.7K
Afnan,Naseej Al Zafran EDP 50ml,"AED, ,133.65, ",,wrangle from name,wrangle from name,,noon,4,7.7K
KORLOFF,White Intense EDP 88ml,137.70,,wrangle from name,wrangle from name,,noon,4,7.7K
GIORGIO ARMANI,Acqua Di Gio Profondo EDP 75ml,"AED, ,366.00","AED, ,309.95, ",wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
Miu Miu,Twist EDP 50ml,"AED, ,156.05, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Panorama,Acqua Di Monaco Pour Homme EDP 100ml,"AED, ,213.14","AED, ,160.45, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
ESCADA,Celebrate Now EDP 80ml,357.00,95.45,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Yardley,Poise Noire EDP 100ml,"AED, ,38.80, ",,wrangle from name,wrangle from name,,Noon Grocery,4,25.8K
Dehen w 3oood,Perfume Oud Cambodi 50ml,"AED, ,125.00, ",,wrangle from name,wrangle from name,,Dehen_w_3oood,4.8,32
Giorgio,Giorgio Black Special Edition II EDP 100ml,85.00,34.35,wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Ard Al Zaafaran,Oud Sharqia EDP 80ml,67.00,32.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Alexander McQueen,McQueen EDP 75ml,93.35,,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Silk Musk Perfume EDP 100ml,"AED, ,98.20, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Ajmal,Viola EDP 75ml,78.75,,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
Louis Cardin,Sacred EDP 100ml,79.00,42.10,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Jacomo,Silences EDP 100ml,95.95,,wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
Memo Paris,African Leather EDP 75ml,566.85,,wrangle from name,wrangle from name,,noon,4,7.7K
Ajmal,Blu Colonge 90ml,99.75,90.00,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
PRADA,Candy Sugar Pop EDP 80ml,"AED, ,260.00","AED, ,170.95, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
Ajmal,Evoke EDP 90ml,"AED, ,89.95, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Lattafa,Al Dur Al Maknoon EDP 100ml,99.00,29.35,wrangle from name,wrangle from name,,noon,4,7.7K
Louis Cardin,Credible EDP 100ml,79.00,40.04,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
MONTALE,Orange Aoud EDP 100ml,249.00,,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Karl Lagerfeld,EDP 85ml,335.00,85.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Ajmal,Mukhallat Arzan EDP 30ml,175.00,164.70,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
Ajmal,Neutron EDP 100ml,48.45,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
MONTALE,Pink Extasy EDP 100ml,"AED, ,229.10","AED, ,216.00, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Mancera,Black Line EDP 120ml,359.00,247.10,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
PACO RABANNE,Paco Rabanne Olympea Legend EDP 80ml,418.00,210.80,wrangle from name,wrangle from name,,noon,4,7.7K
Ajmal,Qafiya 03 EDP 75ml,265.00,175.00,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
AMWAAJ,Al Asayel EDP 100ml,"AED, ,99.00","AED, ,43.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
Ajmal,Abia Noir EDP 75ml,225.00,191.24,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
LALIQUE,Fleur De Crystal EDP Gift Set 100ml,"AED, ,165.00","AED, ,134.00, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
Ajmal,Tanaasuq EDP 75ml,250.00,200.00,wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
GILDA,Gilda EDP 100ml,135.00,32.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
CREED,Acqua Originale Iris Tubereuse EDP 100ml,"AED, ,1200.00","AED, ,486.15, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
CHOPARD,Rose Seljuke EDP 100ml,"AED, ,969.00","AED, ,478.00, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Amazing Creation,Shaikh Oud Perfume EDP 100ml,"AED, ,141.75, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Franck Oliver,Passion EDP 50ml,39.00,31.30,wrangle from name,wrangle from name,,noon,4,7.7K
BVLGARI,Goldea EDP 90ml,405.00,207.65,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Nabeel,Bergamot Spray Perfume EDP 100ml,495.00,285.55,wrangle from name,wrangle from name,,noon,4,48.9K
Rasasi,Bent Al Ezz Hana 18ml,"AED, ,69.00, ",,wrangle from name,wrangle from name,,noon,4,48.9K
Afnan,Supremacy Purple EDP 100ml,174.00,103.00,wrangle from name,wrangle from name,,LA,3.9,86
Memo,Italian Leather EDP 75ml,2299.00,540.20,wrangle from name,wrangle from name,,noon,4,7.7K
KILIAN,Intoxicated EDP 50ml,1015.00,979.95,wrangle from name,wrangle from name,,noon,4,48.9K
THE MERCHANT OF VENICE,Byzantium Saffron EDP 100ml,630.00,527.15,wrangle from name,wrangle from name,,noon,4,7.7K
MORESQUE,Rand EDP 50ml,1134.00,535.19,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
MORESQUE,Gold Aurum EDP 50ml,1570.00,750.00,wrangle from name,wrangle from name,,MG.Store,3,2.3K
PERRY ELLIS,360° Coral EDP 200ml,"AED, ,152.00","AED, ,117.00, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Samawa,Mukhallat Ayouni EDP 100ml,65.80,,wrangle from name,wrangle from name,,noon,4,7.7K
VERSACE,Dylan Blue EDP 5ml,"AED, ,28.56","AED, ,28.35, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
EMETEN,Burhan For Him Perfume 70ml,"AED, ,80.00","AED, ,36.92, ",wrangle from name,wrangle from name,,SuperStyle,3.8,417
Mancera,Roses Vanille EDP 2ml,"AED, ,18.20, ",,wrangle from name,wrangle from name,,Fragrance House,3.5,246
M.MICALLEF,Secrets Of Love Gourmet EDP 75ml,235.50,193.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
BOTANICAE,Botanicae Patio EDP 100ml,127.00,74.95,wrangle from name,wrangle from name,,noon,4,7.7K
Princesse Marina De Bourbon,Bleu Royal EDP 100ml,354.00,72.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Classic Perfumes,Gulf Club EDP 100ml,31.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Clinique,Aromatics Elixir Perfume Spray 100ml,588.00,,wrangle from name,wrangle from name,,Clinique,3.7,88
RALPH LAUREN,Amber EDP 100ml,"AED, ,753.00","AED, ,650.00, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
AIGNER,Debut EDP 100ml,274.25,79.80,wrangle from name,wrangle from name,,noon,4,7.7K
Classic Perfumes,Al Sheikh EDP 100ml,38.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Classic Perfumes,Emperor Noir EDP 100ml,29.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
GUCCI,Guilty Intense EDP 50ml,239.00,222.00,wrangle from name,wrangle from name,,Glazed Fashion,3.5,259
VERSACE,Crystal Noir EDP 50ml,"AED, ,188.25, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Classic Perfumes,Dignity Blanc EDP 100ml,31.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
MONTALE,White Musk EDP 100ml,"AED, ,226.35, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
GUCCI,Guilty Love Edition Pour Femme EDP 50ml,"AED, ,329.00, ",,wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
HUGO BOSS,Extreme EDP 75ml,"AED, ,395.00","AED, ,110.90, ",wrangle from name,wrangle from name,,noon,4,7.7K
Classic Perfumes,Mystery Noir EDP 100ml,32.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Classic Perfumes,Majestic Noir EDP 100ml,32.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Estee Lauder,Modern Muse EDP 100ml,575.00,200.85,wrangle from name,wrangle from name,,noon,4,7.7K
Guerlain,Patchouli Ardent EDP 125ml,"AED, ,855.00","AED, ,595.00, ",wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
Giorgio,Black Special Edition EDP 100ml,45.00,37.00,wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
ALAIA,Paris EDP 100ml,324.10,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Dehen w 3oood,Perfume Dana Dubai 100ml,"AED, ,100.00, ",,wrangle from name,wrangle from name,,Dehen_w_3oood,4.8,32
Jean Paul GAULTIER,Classique EDP For Women 100ml,510.00,256.90,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Balmain Perfume EDP 100ml,"AED, ,98.20, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,The King Perfume EDP 100ml,"AED, ,87.00","AED, ,86.35, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Oud Saffron Perfume EDP 100ml,"AED, ,105.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,French Leather Perfume EDP 100ml,"AED, ,87.00","AED, ,74.20, ",wrangle from name,wrangle from name,,noon,4,7.7K
jennifer lopez,Live EDP 100ml,189.33,69.25,wrangle from name,wrangle from name,,Glazed Fashion,3.5,259
Amazing Creation,Sold Blano Perfume 100ml,"AED, ,116.00","AED, ,102.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
EMETEN,Destiny Perfume 60ml,"AED, ,100.00","AED, ,47.68, ",wrangle from name,wrangle from name,,SuperStyle,3.8,417
Amazing Creation,Oud Perfume EDP 100ml,"AED, ,105.00","AED, ,104.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
Dehen w 3oood,Hair Mist Dana Dubai 30ml,"AED, ,90.00, ",,wrangle from name,wrangle from name,,Dehen_w_3oood,4.8,32
Amazing Creation,Tuberose Angelica Perfume EDP 100ml,"AED, ,95.35, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Si Gold Perfume EDP 100ml,"AED, ,95.35, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Light Blue Perfume EDP 100ml,"AED, ,87.00","AED, ,85.45, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Rose Noir Perfume EDP 100ml,"AED, ,105.00","AED, ,89.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Musc Shamal Perfume EDP 100ml,"AED, ,125.50, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Amazing Creation Black Oud EDP 100ml,"AED, ,116.55, ",,wrangle from name,wrangle from name,,noon,4,7.7K
TOM FORD,Cafe Rose  EDP 100ml,"AED, ,971.00","AED, ,899.00, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Amazing Creation,No:1 Homme Perfume EDP 100ml,"AED, ,105.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,African Leather Perfume EDP 100ml,"AED, ,97.10, ",,wrangle from name,wrangle from name,,noon,4,7.7K
The House Of Oud,The House Of Oud Live In Colours EDP 75ml,591.75,550.00,wrangle from name,wrangle from name,,Fragrance House,3.5,246
Amazing Creation,Epic Man Perfume EDP 100ml,"AED, ,105.00, ",,wrangle from name,wrangle from name,,noon,4,7.7K
HERMES,L'Ambre Des Merveilles EDP 100ml,"AED, ,443.00","AED, ,399.00, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
ESCADA,Celeberate N.O.W EDP 50ml,68.85,,wrangle from name,wrangle from name,,noon,4,7.7K
MOSCHINO,Cheap And Chic Stars EDP 100ml,"AED, ,336.00","AED, ,103.00, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
Paris Hilton,Paris Hilton EDP 100ml,193.11,99.00,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
ELIE SAAB,Essence No.7 Neroli  EDP 100ml,"AED, ,638.00","AED, ,209.50, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
Ajmal,Shadow II EDP 75ml,78.00,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
LALIQUE,Lalique EDP 100ml,"AED, ,249.20","AED, ,122.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
acqua di parma,Peonia Nobile EDP 100ml,411.00,248.95,wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Oh Fabulous Perfume EDP 100ml,"AED, ,119.20, ",,wrangle from name,wrangle from name,,noon,4,7.7K
LALIQUE,L'Amour EDP 100ml,190.00,114.00,wrangle from name,wrangle from name,,Fragrance House,3.5,246
BEVERLY HILLS POLO CLUB,Beverly Hills Polo Club 2 EDP 100ml,"AED, ,73.65, ",,wrangle from name,wrangle from name,,noon,4,48.9K
Arabian Oud,Adore EDP 80ml,"AED, ,336.00","AED, ,168.00, ",wrangle from name,wrangle from name,,Arabian Oud,3.9,25
COACH,Coach EDP 90ml,322.00,127.20,wrangle from name,wrangle from name,,noon,4,7.7K
MOSCHINO,Cheap and Chic Stars EDP 50ml,"AED, ,79.90, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Rasasi,Emotion EDP 50ml,92.78,34.55,wrangle from name,wrangle from name,,umeema,3,105
Franck Olivier,Passion EDP 75ml,132.00,43.80,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Marina De Bourbon,Dynastie EDP 100ml,72.50,,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
EMETEN,Destiny Classics Perfume 60ml,"AED, ,100.00","AED, ,48.30, ",wrangle from name,wrangle from name,,SuperStyle,3.8,417
Ajmal,Sacrifice EDP 50ml,"AED, ,122.74","AED, ,79.25, ",wrangle from name,wrangle from name,,noon,4,7.7K
Roberto Cavalli,Baroque Musk EDP 100ml,"AED, ,267.65","AED, ,248.50, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Classic Perfumes,Montage Oudh EDP 100ml,29.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Costume National,J EDP 50ml,"AED, ,157.00","AED, ,152.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
Classic Perfumes,My Hero My Sultan EDP 120ml,29.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
Classic Perfumes,Night Dream EDP 100ml,28.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
BVLGARI,Omnia EDP 65ml,"AED, ,302.00","AED, ,201.38, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Amazing Creation,Amazing Creation Crystal Noir EDP 100ml,"AED, ,96.00","AED, ,90.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Labo Tabac Perfume EDP 100ml,"AED, ,105.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Ambre Pimente Perfume EDP 100ml,"AED, ,87.00","AED, ,85.45, ",wrangle from name,wrangle from name,,noon,4,7.7K
Frederic Malle,Musc Ravageur EDP 100ml,1120.50,,wrangle from name,wrangle from name,,branded perfume,3.3,394
LALIQUE,Les Compositions Electrum EDP 100ml,"AED, ,280.00","AED, ,224.55, ",wrangle from name,wrangle from name,,Fragrance House,3.5,246
Bond No.9,New York Musk EDP 100ml,567.45,514.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Giorgio,Giorgio Royal Classic EDP 100ml,"AED, ,82.00","AED, ,34.45, ",wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Afnan,Supremacy EDP 100ml,120.00,94.40,wrangle from name,wrangle from name,,noon,4,7.7K
MONTALE,Powder Flowers EDP 100ml,"AED, ,345.00, ",,wrangle from name,wrangle from name,,Brand Gallery,3.1,22
Dior,Miss Dior EDP 50ml,568.00,298.85,wrangle from name,wrangle from name,,noon,4,7.7K
Ajmal,Hayba EDP 80ml,"AED, ,89.78","AED, ,80.95, ",wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
Giorgio,Giorgio Red Special Edition II EDP 100ml,"AED, ,82.00","AED, ,39.70, ",wrangle from name,wrangle from name,,Giorgio Perfumes Original,4,23
Ajmal,Entice 2 EDP 75ml,99.75,72.00,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
CLIVE CHRISTIAN,X EDP 100ml,1610.70,1499.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
BVLGARI,Le Gemme Lazulia EDP 100ml,"AED, ,806.00","AED, ,675.00, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Givenchy,Dahlia Divin EDP 75ml,903.00,225.00,wrangle from name,wrangle from name,,Beauty City Dist,3.6,26
Genie,9045 Collection EDP 25ml,29.95,,wrangle from name,wrangle from name,,B.THREE EYES,3.9,528
Yves Rocher,Autour De Minuit EDP 100ml,"AED, ,348.00","AED, ,249.00, ",wrangle from name,wrangle from name,,Al Shamsi,4,146
