brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Amazing Creation,Zafeer Al Oud Eau De Parfum 100ml,"AED, ,116.00","AED, ,105.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Bergamot Venician Eau De Parfum 100ml,"AED, ,96.00","AED, ,94.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
Al Zaabiah,Baby Love Parfum 50ml,"AED, ,28.00","AED, ,27.00, ",wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Agent Provocateur,Eau De Parfum 100ml,"AED, ,198.00","AED, ,115.10, ",wrangle from name,wrangle from name,,noon,4,7.7K
Al Zaabiah,Baby Love Parfum 50ml,"AED, ,27.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Baby Love Parfum 50ml,"AED, ,27.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
HISTOIRES de PARFUMS,1740 Noir Patchouli EDP 120ml,1599.00,550.50,wrangle from name,wrangle from name,,branded perfume,3.3,394
CLIVE CHRISTIAN,1872 Original Collection Parfum 50ml,1208.70,,wrangle from name,wrangle from name,,noon,4,7.7K
DHAMMA,Aro Fac Orchid-14 Eau de Parfum 100 ml,"AED, ,57.00","AED, ,37.00, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Amazing Creation,Sartorial Eau De Parfum 100ml,"AED, ,116.00","AED, ,104.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Musk Absolute Eau De Parfum 100ml,"AED, ,96.00","AED, ,94.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
Amazing Creation,Gold Intense Eau De Parfum 100ml,"AED, ,96.00","AED, ,85.45, ",wrangle from name,wrangle from name,,noon,4,7.7K
HISTOIRES de PARFUMS,Rare Edition Veni EDP 60ml,690.00,316.00,wrangle from name,wrangle from name,,branded perfume,3.3,394
Amazing Creation,Eyes Of The Tiger Eau De Parfum 100ml,"AED, ,116.00","AED, ,104.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
