name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
ETAT LIBRE D'ORANGE Bijou Romantique EDP 100ml ,"Vetiver, Benzoin and Vanilla",,,Women,,,"Clary Sage, Iris, Coconut and Evee Molecule",,/uae-en/bijou-romantique-edp-100ml/N11203079A/p?o=bb413bfc6b22a07a,,,100 ml,"Bergamot, Lemon, Pink Pepper and Ylang-Ylang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETAT LIBRE D'ORANGE Rien EDP 100ml ,,,,Unisex,,,,,/uae-en/rien-edp-100ml/N11203080A/p?o=e3104fffe06a39ac,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franck Boclet Absinthe EDP 100ml ,"Vetiver, Leather, Amber, Woody Notes",,,Unisex,,,"Artemisia, Rhubarb, Heliotrope",,/uae-en/absinthe-edp-100ml/N11756394A/p?o=d8bd9a031dfcfbc4,,,100 ml,"Lavender, Artemisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAMATI Lover EDP 100ml ,,,,Unisex,,,,201001,/uae-en/lover-edp-100ml/N34306118A/p?o=bd150ba6da04080b,,,100 ml,,,,201001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean Patou Sira Des Indes EDP 50ml ,"Sandalwood, Amber, Musk and Vanilla.",,,Women,,,"Hampaca, Orange Blossom, Plum and Milk",,/uae-en/sira-des-indes-edp-50ml/N11804858A/p?o=fb63ff4911cec0bf,,Fruity,50 ml,,,,98786579932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 x 5 x 4 inches,1 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franck Boclet Patchouli EDP 100ml ,,,,Unisex,,,,,/uae-en/patchouli-edp-100ml/N11756403A/p?o=afe6d9a770b765af,,,100 ml,,,,,,,,,,,,,,,,,,,,4.3 Inch,2.4 Inch,2.2 Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTEGA VENETA Eau Sensuelle EDP 50ml ,"Leather, Vanilla and Patchouli",,,Women,,,Peach,,/uae-en/eau-sensuelle-edp-50ml/N11074761A/p?o=a8c380badcc5ecdc,,Floral,50 ml,,,,,,,,,,,"Peach, Gardenia, Jasmine, Leather, Vanilla, Patchouli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARLY Habdan EDP 125ml ,"Ambergris, Caramel, Myrhh",,,Unisex,,,"Apple, Woody Notes, Rose",,/uae-en/habdan-edp-125ml/N11075632A/p?o=c7cca0d70ff0e4af,,Spicy,125 ml,"Saffron, Olibanum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILIAN Bamboo Harmony EDP 50ml ,Fig Leaves and Oakmoss,,,Unisex,,,"White Tea Leaves, Mimosa and Spice",,/uae-en/bamboo-harmony-edp-50ml/N11075441A/p?o=e5586221515f11bc,,,50 ml,"Bergamot, Bigarade and Neroli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GURU BY KINDA Sensation EDP 100ml ,Musk,,,Women,,,Amber and Oud,,/uae-en/sensation-edp-100ml/N11075322A/p?o=e9e458e6cb32c44e,,,100 ml,Incense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GURU BY KINDA Egos EDP 100ml ,,,,Unisex,,,,,/uae-en/egos-edp-100ml/N11075325A/p?o=e12a00694a91d11c,,,100 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIGNER No 1 Oud EDP 100ml ,"Agarwood (Oud) , Leather, Cashmeran , Saffron",,,Men,,,"Jasmine , Rose , Violet , Cloves",,/uae-en/no-1-oud-edp-100ml/N11803376A/p?o=c7787a13186944cd,,Floral,100 ml,"Coriander , Nutmeg , Cinnamon",,,,,,,,,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 4 x 5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainte Valere Beloved EDP 100ml ,,,,Women,,New,,,/uae-en/beloved-edp-100ml/N39900643A/p?o=bea7fb162df6f1de,,Fresh,100 ml,,,,9287015120518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILIAN Light My Fire EDP 50ml ,,,,Unisex,,,,,/uae-en/light-my-fire-edp-50ml/N11075409A/p?o=e0568b5b7d2ff29f,,Woody,50 ml,,,,,,,,,,,"Cumin, Hay, Patchouli, Vetiver, Honey, Vanila And Tobacco",Oriental Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KILIAN Straight To Heaven, Splash Of Lemon Art Edition 50ml ","Musk, Vanilla and Amber",,,Unisex,,,"Patchouli, Rose, Cedar and Nutmeg",,/uae-en/straight-to-heaven-splash-of-lemon-art-edition-50ml/N11075440A/p?o=c49364ec670d64cb,,,50 ml,"Lemon, Bergamot and Rum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGLING Skrik Perfume Spray EDP 50ml ,,,,Unisex,,,,,/uae-en/skrik-perfume-spray-edp-50ml/N11075570A/p?o=ede0c2e6846019cd,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENGLING In Between Perfume Spray EDP 50ml ,,,,Women,,,,,/uae-en/in-between-perfume-spray-edp-50ml/N11075571A/p?o=e04f05ce0392bccd,,,50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTTEGA Le Essenza Joyful EDP 100ml ,,,,Women,,,,,/uae-en/le-essenza-joyful-edp-100ml/N38920474A/p?o=e707c9340072815a,,Floral,100 ml,,,Yes,5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
